id,value
1150,Christer Björkman
1151,Clara Klingenström
1152,Alvaro Estrella
1153,gustavsson
1154,kronoberg
1155,röd påse
1156,grön påse
1157,soptunna
1158,innergård
1159,aleholmsskolan
1160,aleholm
1161,rektor
1162,starkman
1163,henrik
1164,leksakståg
1165,barngrupp
1166,femtinge
1167,nöje
1168,helena gill
1169,estilos
1170,vd
1171,carina nilsson
1172,säljare
1173,butik
1174,pär-olof
1175,mark
1176,exploatering
1177,chef
1178,vetlanda
1179,villor
1180,genrebild
1181,villaområde
1182,kyrkoval
1183,träkyrka
1184,kristendom
1185,idol
1186,garbiel
1187,gitarr
1188,guldbiljett
1189,sångare
1190,kulturhus
1191,anna-karin
1192,rostedt
1193,pelle
1194,nööjd
1195,ha74
1196,forssa kvarnagård
1197,pizzaugn
1198,gård
1199,sean banan
1200,pressbild
1201,fanny olsson
1202,vetlandaappen
1203,fanny
1204,chefsredaktör
1205,bok
1206,självmord
1207,suicid
1208,dany daoud
1209,olearys
1210,fotbollsgymnasium
1211,balett
1212,kultur
1213,dans
1214,Dagens lunch
1215,Ljungby
1216,vego
1217,husmanskost
1218,Eleanor Karlsson
1219,Eva spångberg
1220,dagens.lunch.v41
1221,äldreomsorg
1222,demens
1223,loppis
1224,loppmarknad
1225,rörviks skola
1226,idrottslärare
1227,johannes thelander
1228,älg på väg
1229,skytte
1230,skyttetavlor
1231,stadshotell
1232,bergfeldt
1233,hotell
1234,vrigstad marknad
1235,marknad
1236,godis
1237,polkagrisar
1238,fiol
1239,instrument
1240,olle mill
1241,tvarnö
1242,sjuk
1243,sjukdom
1244,förkyld
1245,Facebook
1246,sociala medier
1247,daniel berner
1248,Daniel Berner
1249,jan johansson
1250,vf
1251,vetlanda framåtanda
1252,VF
1253,elgitarr
1254,akriv
1255,martina arvidsson
1256,barn- och utbildning
1257,arvidsson
1258,svets
1259,svetslåga
1260,svetsare
1261,gångbro
1262,cykelbro
1263,Sävsjö Skyttecenter
1264,Skyttecenter
1265,Jacob Freij
1266,Withalaskolan
1267,Jan Johansson
1268,C
1269,Pelle Nööjd
1270,vinterdäck
1271,barrskog
1272,svensk skog
1273,Veronika Hanski-Jern
1274,trädgård
1275,bilbälte
1276,säkerhetsbälte
1277,vrigstad samhällsförening
1278,södergården
1279,matsal stockaryd
1280,spruta
1281,vaccin
1282,el
1283,elproduktion
1284,vindkraftverk
1285,sävebo
1286,therese petersson
1287,urban blücher
1288,andol
1289,johan hermansson
1290,Kjell Lundkvist
1291,Sverigedemokraterna
1292,SD Sävsjö
1293,Sverigedemokraterna Sävsjö
1294,lägereld
1295,forskning
1296,medicin
1297,vård
1298,universitet
1299,Högagärdesbacken
1300,IFK
1301,snabbtest
1302,text
1303,Bergslagstorget
1304,torget
1305,Bildningen
1306,Finspångs Slott
1307,Fika
1308,Arena Grosvad
1309,Medley
1310,Badhus
1311,Bönnerbadet
1312,badplats
1313,Kristallen
1314,Bönnern
1315,hopptorn
1316,munk
1317,Finspångs Bibliotek
1318,Brukspaken
1319,Vattenlek
1320,Ölstad
1321,ölstadsjön
1322,naturreservat
1323,Lövfallet
1324,Sonstorp
1325,bruk
1326,Mikael Damberg
1327,skräp
1328,plast
1329,Alva
1330,Ung i Fokus
1331,Anna
1332,Maja
1333,Finspång
1334,magnolia
1335,Finspångs slott
1336,läkare
1337,sjukhus
1338,finspångs stadslopp
1339,Mikael Grip
1340,Stefan Fransson
1341,SOK
1342,studier
1343,elever
1344,skoltrött
1345,studera
1346,elev
1347,student
1348,plugga
1349,Hävla kvarn
1350,bedrägeri
1351,brott
1352,bedragare
1353,bankid
1354,mobiltbankid
1355,hembygdspark
1356,stockaryds hembygdspark
1357,region
1358,region jönköpings län
1359,socaldemokraterna
1360,Majbrasa
1361,brasa
1362,vecka 17
1363,missionskyrkan
1364,familj
1365,familjehem
1366,bonusfamilj
1367,pengar
1368,kontanter
1369,blåljus
1370,bevara akutsjukhusen
1371,parti
1372,Bakluckeloppis
1373,Vibjörnsparken
1374,glasquiz
1375,Glasquiz
1376,Vladimir Putin
1377,ryssland
1378,soldater
1379,soldat
1380,militär
1381,försvarsmakten
1382,Sauli Niinistö
1383,president
1384,lantbruk
1385,jordbruk
1386,traktor
1387,skörd
1388,Studieförbundet vuxenskolan
1389,madeleine
1390,Vuxenskolan
1391,Vuxenskolan
1392,bibliotek
1393,böcker
1394,Bergenia cordifolia Möja
1395,nato
1396,jens stoltenberg
1397,Enevi
1398,övergrepp
1399,sexuella övergrepp
1400,sorg
1401,MK Vrigstad
1402,motocross
1403,enduro
1404,motorbana vrigstad
1405,hagabanan
1406,Acko Ankarberg Johansson
1407,riksdagsledamot
1408,jesus
1409,kristus
1410,gud
1411,vårdpersonal
1412,vården
1413,operation
1414,undersköterska
1415,sjukvård
1416,sjuksköterska
1417,lärare
1418,coop sävsjö
1419,camilla karlsson
1420,miljö
1421,klimatarbete
1422,vildsvinskött
1423,viltkött
1424,hälsa
1425,psykisk hälsa
1426,övervikt
1427,fetma
1428,Ödmans
1429,Colorama
1430,Erbjudande
1431,majoriteten
1432,christer sjögren
1433,christer sandström
1434,midsommarafton
1435,midsommarstång
1436,skiren
1437,finspång
1438,husvagn
1439,2022
1440,aktivitet
1441,igelfors
1442,Lada 107
1443,loppisrunda
1444,Regna
1445,Loppis
1446,anslagstavla
1447,GRÖNSKA
1448,runda
1449,runda
1450,utflykt
1451,utflykt
1452,hamburgerkött
1453,grill
1454,lotorp
1455,rivning
1456,bad
1457,badbadplats
1458,badbadplatsudden
1459,depression
1460,psykisk ohälsa
1461,ångest
1462,Återvinning
1463,klimatsmart
1464,secondhand
1465,gratis
1466,kock
1467,arbete
1468,mat
1469,restaurang
1470,snickare
1471,byggnation
1472,byggarbetare
1473,leader linné småland
1474,jakttorn
1475,jakt
1476,jägare
1477,trä
1478,plankor
1479,produktion
1480,familjebadet
1481,badleksak
1482,pool
1483,simhall
1484,anonym
1485,anonym kvinna
1486,Slott
1487,slottsparken
1488,finspångs slott
1489,val
1490,rösta
1491,röstning
1492,vallokal
1493,röstbås
